date,sentiment
2023-01-02,-0.19605
2023-01-03,0.0
2023-01-04,0.2454666666666666
2023-01-05,-0.1531
2023-01-06,0.2319999999999999
2023-01-07,-0.4767
2023-01-09,-0.34
2023-01-10,-0.11685
2023-01-11,-0.23835
2023-01-12,-0.6369
2023-01-13,-0.2023
2023-01-15,-0.7783
2023-01-17,-0.1489
2023-01-19,-0.064
2023-01-20,0.0801399999999999
2023-01-22,-0.6124
2023-01-23,-0.6265499999999999
2023-01-26,0.253125
2023-01-27,0.1591
2023-01-30,-0.08895
2023-02-01,0.2741833333333333
2023-02-02,-0.00804
2023-02-03,0.2211599999999999
2023-02-05,0.2202
2023-02-06,0.0
2023-02-07,0.1756666666666666
2023-02-08,-0.0706
2023-02-09,0.0
2023-02-10,0.0211999999999999
2023-02-11,0.4779
2023-02-12,-0.25875
2023-02-14,0.1366
2023-02-15,0.3485
2023-02-16,-0.0258
2023-02-17,0.0
2023-02-18,0.6369
2023-02-19,-0.1779
2023-02-22,0.49155
2023-02-23,0.29675
2023-02-24,0.5927
2023-02-25,-0.10115
2023-02-26,-0.4731
2023-02-27,-0.4404
2023-03-02,0.0
2023-03-04,0.68465
2023-03-05,-0.3716
2023-03-06,-0.296
2023-03-07,-0.0310999999999999
2023-03-08,0.19805
2023-03-09,-0.0547
2023-03-10,0.0024999999999999
2023-03-12,0.0
2023-03-13,0.0162666666666666
2023-03-14,-0.0132333333333333
2023-03-15,0.3818
2023-03-16,-0.31845
2023-03-17,-0.4019
2023-03-19,-0.4019
2023-03-20,-0.1459
2023-03-21,-0.071625
2023-03-22,-0.0882999999999999
2023-03-23,-0.6249
2023-03-24,-0.6268
2023-03-27,-0.0970999999999999
2023-03-28,-0.4686333333333333
2023-03-30,-0.5267
2023-04-03,-0.7684
2023-04-04,0.1901
2023-04-05,-0.2975
2023-04-06,0.0383499999999999
2023-04-07,-0.36146
2023-04-10,-0.13465
2023-04-11,-0.6762
2023-04-12,0.2083
2023-04-13,0.4080333333333333
2023-04-14,-0.2369333333333333
2023-04-18,0.1779
2023-04-19,0.2238
2023-04-20,0.6369
2023-04-21,-0.5283333333333333
2023-04-24,0.5719
2023-04-25,0.7666
2023-04-27,-0.1995199999999999
2023-04-28,-0.11946
2023-05-02,-0.4527166666666666
2023-05-03,0.1646333333333333
2023-05-04,0.41355
2023-05-05,0.1621166666666666
2023-05-08,0.4588
2023-05-09,-0.0548749999999999
2023-05-10,0.4404
2023-05-12,0.1333
2023-05-14,0.7096
2023-05-15,0.7425
2023-05-17,0.2073
2023-05-18,0.5081333333333333
2023-05-19,-0.3818
2023-05-20,-0.55345
2023-05-22,0.0
2023-05-23,-0.296
2023-05-24,0.107475
2023-05-25,-0.2732
2023-05-26,0.3403
2023-05-29,-0.6249
2023-05-30,0.1027
2023-06-01,0.0
2023-06-02,0.0596
2023-06-06,-0.0772
2023-06-07,-0.1779
2023-06-08,0.5994
2023-06-09,0.1465333333333333
2023-06-12,-0.3337666666666667
2023-06-13,0.26115
2023-06-14,-0.0834666666666666
2023-06-15,0.0
2023-06-16,0.0175333333333333
2023-06-18,-0.128
2023-06-19,-0.1901
2023-06-20,-0.2023
2023-06-21,-0.1707
2023-06-22,0.4588
2023-06-23,-0.5994
2023-06-26,0.5238999999999999
2023-06-27,0.0
2023-06-28,0.23345
2023-06-29,0.1469666666666666
2023-07-01,0.0
2023-07-03,0.1387
2023-07-04,0.4939
2023-07-05,0.41
2023-07-06,0.1256
2023-07-07,0.2999857142857142
2023-07-10,-0.4019
2023-07-11,-0.6249
2023-07-12,0.7506
2023-07-14,0.6908
2023-07-15,0.0
2023-07-17,-0.0858666666666666
2023-07-19,-0.0726333333333333
2023-07-20,0.10115
2023-07-21,-0.36755
2023-07-22,-0.4522
2023-07-24,0.1493
2023-07-25,0.3314
2023-07-26,0.1669666666666666
2023-07-27,-0.1742
2023-07-28,0.1383333333333333
2023-08-01,-0.0167499999999999
2023-08-03,0.5267
2023-08-04,-0.2202
2023-08-05,0.0
2023-08-07,0.14028
2023-08-08,0.0516
2023-08-09,-0.56555
2023-08-10,0.05165
2023-08-11,0.2807666666666666
2023-08-15,-0.364075
2023-08-16,0.5423
2023-08-17,0.4404
2023-08-18,-0.1201999999999999
2023-08-21,-0.3612
2023-08-22,-0.43335
2023-08-23,0.0
2023-08-24,-0.7102
2023-08-25,-0.2658
2023-08-26,0.1021333333333333
2023-08-28,0.4695
2023-08-29,0.1153
2023-08-30,0.4767
2023-09-01,0.1845666666666666
2023-09-02,-0.6486
2023-09-03,0.064
2023-09-04,-0.5318666666666667
2023-09-05,0.0773499999999999
2023-09-06,-0.8689
2023-09-07,-0.2553
2023-09-08,0.29715
2023-09-11,0.2023
2023-09-12,-0.0833333333333333
2023-09-13,0.06275
2023-09-14,-0.2854333333333333
2023-09-15,-0.24065
2023-09-18,-0.0772
2023-09-19,-0.064
2023-09-20,0.0387
2023-09-22,0.0
2023-09-27,-0.2732
2023-09-28,-0.2038499999999999
2023-09-29,-0.09285
2023-10-03,0.5886
2023-10-04,0.0
2023-10-05,0.0309499999999999
2023-10-06,0.301975
2023-10-09,0.5342666666666667
2023-10-10,-0.06135
2023-10-11,-0.007025
2023-10-12,0.3612
2023-10-13,0.0
2023-10-16,0.0203499999999999
2023-10-18,0.06155
2023-10-19,0.2017
2023-10-20,-0.0901399999999999
2023-10-23,0.6326
2023-10-24,-0.4939
2023-10-26,-0.13085
2023-10-27,0.0611
2023-10-29,0.2023
2023-10-30,0.5563
2023-11-01,-0.20328
2023-11-02,0.5313
2023-11-03,0.3602499999999999
2023-11-05,0.1027
2023-11-06,0.2732
2023-11-07,0.30765
2023-11-08,-0.3867333333333333
2023-11-09,0.0644
2023-11-10,-0.060175
2023-11-12,0.2263
2023-11-13,0.0258
2023-11-14,-0.10115
2023-11-16,0.4404
2023-11-17,-0.3941
2023-11-19,-0.2365499999999999
