,date,sentiment
0,2006-01-01,0.17775
1,2006-01-03,0.170425
2,2006-01-04,0.0317
3,2006-01-05,0.3566
4,2006-01-06,0.17479999999999998
5,2006-01-07,-0.008233333333333334
6,2006-01-08,0.112
7,2006-01-09,0.69005
8,2006-01-10,0.0
9,2006-01-11,0.0
10,2006-01-13,0.09845000000000004
11,2006-01-14,0.079
12,2006-01-22,0.24489999999999998
13,2006-01-24,0.9331
14,2006-01-25,0.0193
15,2006-01-26,-0.07774999999999999
16,2006-01-27,0.06646666666666666
17,2006-01-28,0.5574
18,2006-01-30,-0.8519
19,2006-02-01,0.109925
20,2006-02-02,0.4811
21,2006-02-03,0.2168
22,2006-02-04,0.46429999999999993
23,2006-02-05,0.009419999999999984
24,2006-02-06,0.6369
25,2006-02-08,0.7269
26,2006-02-11,0.2732
27,2006-02-12,0.16885
28,2006-02-13,0.0
29,2006-02-14,0.5116499999999999
30,2006-02-15,0.5342
31,2006-02-16,0.11005000000000001
32,2006-02-17,0.18314000000000002
33,2006-02-19,0.20733333333333337
34,2006-02-22,0.8295666666666667
35,2006-02-23,-0.14349999999999996
36,2006-02-24,-0.6369
37,2006-02-25,0.6369
38,2006-02-26,0.0
39,2006-03-01,0.35695
40,2006-03-03,0.17539999999999997
41,2006-03-04,0.3851333333333333
42,2006-03-05,0.00883333333333336
43,2006-03-06,0.27185
44,2006-03-09,0.54825
45,2006-03-10,-0.3562666666666667
46,2006-03-11,0.3612
47,2006-03-12,0.27435
48,2006-03-14,0.926
49,2006-03-15,-0.4019
50,2006-03-16,-0.1960666666666667
51,2006-03-17,0.8625
52,2006-03-18,0.5423
53,2006-03-19,0.3182
54,2006-03-20,0.0129
55,2006-03-21,0.7719999999999999
56,2006-03-22,0.5574
57,2006-03-23,-0.465
58,2006-03-24,0.34
59,2006-03-26,-0.0258
60,2006-03-27,-0.015000000000000013
61,2006-03-28,-0.1202
62,2006-03-29,0.0
63,2006-03-30,0.6486
64,2006-04-01,0.1515
65,2006-04-02,0.49665000000000004
66,2006-04-03,-0.052800000000000014
67,2006-04-04,0.0
68,2006-04-05,-0.1666
69,2006-04-06,0.0
